name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
camel,1,org.apache.camel.component.quartz.QuartzExchange,1,1,0,1,1,1,1,1,1,1.0,1,0.0,0,0.896551724,0.5,0,0,1.0,1,0.75,0
camel,1,org.apache.camel.component.mina.MinaComponent,1,1,0,1,1,1,1,1,1,1.0,1,0.0,0,0.8,0.5,1,1,1.0,1,0.6667,0
camel,1,org.apache.camel.processor.loadbalancer.RandomLoadBalancer,1,1,0,1,1,1,0,1,1,1.0,1,0.0,0,0.833333333,0.666666667,1,1,1.0,1,0.5,0
camel,1,org.apache.camel.builder.ValueBuilder,1,1,1,1,1,0,1,1,1,0.08,1,1.0,1,0.0,0.258241758,0,0,1.0,1,1.0,0
camel,1,org.apache.camel.component.xmpp.XmppComponent,1,1,0,1,1,1,1,1,1,1.0,1,0.0,0,0.888888889,0.375,1,1,1.0,1,0.5,0
camel,1,org.apache.camel.builder.ResequencerBuilder,1,1,0,1,1,1,1,1,1,0.666666667,1,1.0,0,0.909090909,0.35,1,1,1.0,1,0.875,0
camel,1,org.apache.camel.spring.xml.CamelBeanDefinitionParser,1,1,0,1,1,1,1,1,1,0.875,1,1.0,1,0.4,0.272727273,1,1,1.0,1,1.0,0
camel,1,org.apache.camel.Message,1,1,0,1,1,1,1,1,1,1.0,1,0.0,0,0.0,0.369230769,0,0,0.0,1,1.0,1
camel,1,org.apache.camel.builder.ConstantProcessorBuilder,1,1,0,1,1,0,1,1,1,0.0,1,1.0,1,0.0,0.75,0,0,1.0,1,0.5,0
camel,1,org.apache.camel.component.cxf.CxfComponent,1,1,0,1,1,1,1,1,1,0.8,1,1.0,0,0.8,0.333333333,1,1,1.0,1,0.6667,0
camel,1,org.apache.camel.CamelTemplate,1,1,0,1,1,1,1,1,1,0.675,1,1.0,1,0.233333333,0.24,1,1,1.0,1,1.0,0
camel,1,org.apache.camel.component.mail.MessageHeaderAccessException,1,1,0,1,1,0,1,1,1,1.0,1,1.0,0,0.944444444,0.666666667,0,0,1.0,1,0.5,0
camel,1,org.apache.camel.processor.ChoiceProcessor,1,1,0,1,1,0,1,1,1,0.166666667,1,1.0,1,0.538461538,0.357142857,1,1,1.0,1,1.0,0
camel,1,org.apache.camel.component.jbi.JbiException,1,1,0,1,1,1,1,1,1,1.0,1,0.0,0,1.0,0.777777778,0,0,1.0,0,0.0,0
camel,1,org.apache.camel.util.UuidGenerator,1,1,0,1,1,1,1,0,1,0.7,1,1.0,0,0.0,0.5,0,0,1.0,1,0.5,0
camel,1,org.apache.camel.component.jms.JmsEndpoint,1,1,0,1,1,1,1,1,1,0.644444444,1,1.0,1,0.4375,0.163157895,1,1,1.0,1,1.0,0
camel,1,org.apache.camel.bam.model.ProcessDefinition,1,1,0,1,1,1,1,1,1,0.666666667,1,1.0,0,0.375,0.375,0,0,1.0,1,1.0,0
camel,1,org.apache.camel.impl.LoggingExceptionHandler,1,1,0,1,1,1,1,1,1,0.0,1,1.0,1,0.0,0.5,0,0,1.0,1,0.3333,0
camel,1,org.apache.camel.Consumer,0,1,0,1,0,0,1,1,0,1.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
camel,1,org.apache.camel.builder.RecipientListBuilder,1,1,0,1,1,0,1,1,1,0.0,1,1.0,1,0.961538462,0.666666667,0,0,1.0,1,0.5,0
camel,1,org.apache.camel.component.jms.JmsPollingConsumer,1,1,0,1,1,1,1,1,1,0.363636364,1,1.0,0,0.52173913,0.354166667,1,1,1.0,1,1.0,0
camel,1,org.apache.camel.builder.xml.InvalidXPathExpression,1,1,0,1,1,0,1,1,1,0.0,1,1.0,0,0.944444444,0.666666667,0,0,1.0,1,0.5,0
camel,1,org.apache.camel.component.xmpp.XmppMessage,1,1,0,1,1,1,1,1,1,0.153846154,1,1.0,0,0.636363636,0.339285714,1,1,1.0,1,1.0,0
camel,1,org.apache.camel.Converter,0,1,0,1,0,0,1,0,0,1.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
camel,1,org.apache.camel.impl.DefaultMessage,1,1,1,1,1,1,1,1,1,0.6,1,1.0,0,0.523809524,0.327272727,1,1,1.0,1,1.0,0
camel,1,org.apache.camel.bam.model.ProcessInstance,1,1,0,1,1,1,1,1,1,0.854166667,1,1.0,1,0.45,0.283333333,0,0,1.0,1,1.0,0
camel,1,org.apache.camel.component.file.FileComponent,1,1,0,1,1,1,1,1,1,1.0,1,0.0,0,0.941176471,0.5,1,1,1.0,1,0.3333,0
camel,1,org.apache.camel.component.mail.MailMessage,1,1,0,1,1,1,1,1,1,0.5,1,1.0,0,0.65625,0.326923077,1,1,1.0,1,1.0,0
camel,1,org.apache.camel.component.pojo.PojoInvocation,1,1,0,1,1,0,1,0,1,0.666666667,1,1.0,0,0.0,0.4375,0,0,1.0,1,0.75,0
camel,1,org.apache.camel.impl.DefaultPollingConsumer,1,1,0,1,1,1,1,1,1,0.727272727,1,1.0,1,0.571428571,0.233766234,1,1,1.0,1,0.9167,0
camel,1,org.apache.camel.impl.CachingInjector,1,1,0,1,1,0,1,1,1,0.5,1,1.0,1,0.0,0.666666667,0,0,1.0,1,1.0,0
camel,1,org.apache.camel.component.mail.MailExchange,1,1,0,1,1,1,1,1,1,0.8,1,1.0,1,0.65,0.2875,1,1,1.0,1,0.875,0
camel,1,org.apache.camel.bam.model.TemporalEntity,1,1,1,1,1,1,1,1,1,0.666666667,1,1.0,0,0.333333333,0.642857143,0,0,1.0,1,1.0,0
camel,1,org.apache.camel.Route,1,1,1,1,1,1,1,1,1,0.714285714,1,1.0,1,0.0,0.5,0,0,1.0,1,0.875,0
camel,1,org.apache.camel.spi.Policy,1,1,0,1,1,0,1,1,1,1.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
camel,1,org.apache.camel.util.ExpressionHelper,1,1,0,1,1,1,1,1,1,1.0,1,0.0,0,0.0,0.5,0,0,1.0,1,0.6667,0
camel,1,org.apache.camel.MessageDriven,1,1,0,1,1,1,1,0,1,1.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
camel,1,org.apache.camel.bam.processor.NoCorrelationKeyException,1,1,0,1,1,0,1,1,1,0.5,1,1.0,1,0.894736842,0.555555556,0,0,1.0,1,0.6667,0
camel,1,org.apache.camel.builder.SplitterBuilder,1,1,0,1,1,0,1,1,1,0.0,1,1.0,1,0.985915493,0.666666667,1,1,1.0,1,0.5,0
camel,1,org.apache.camel.spring.xml.StatementRouteBuilder,1,1,0,1,1,1,1,1,1,0.625,1,1.0,0,0.902439024,0.466666667,1,1,1.0,1,1.0,0
camel,1,org.apache.camel.component.cxf.CxfInvokeConsumer,1,1,0,1,1,0,1,1,1,0.5,1,1.0,1,0.833333333,0.4375,1,1,1.0,1,0.75,0
camel,1,org.apache.camel.spring.util.DefaultMethodInvocationStrategy,1,1,0,1,1,0,1,1,1,0.0,1,1.0,0,0.0,0.583333333,0,0,1.0,1,0.75,0
